,Date,AirPort,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressurehPa,Mean Sea Level PressurehPa,Min Sea Level PressurehPa,Max VisibilityKm,Mean VisibilityKm,Min VisibilitykM,Max Wind SpeedKm/h,Mean Wind SpeedKm/h,Max Gust SpeedKm/h,Precipitationmm,CloudCover,Events,WindDirDegrees,Holiday,year,month,TOTAL_DEPARTURE,TOTAL_DESTINATION
0,2011-09-01,ATL,35,29,24,21,18,14,79,56,32,1022,1019,1017,16,16,11,19,6,26.0,0.00,3,,129,0,2011,9,3582088,3580851
1,2011-09-02,ATL,36,29,22,17,15,14,61,46,30,1019,1016,1014,16,16,16,24,7,34.0,0.00,2,,185,0,2011,9,3582088,3580851
2,2011-09-03,ATL,35,29,23,17,16,14,64,47,30,1015,1013,1011,16,16,16,19,7,26.0,0.00,4,,147,0,2011,9,3582088,3580851
3,2011-09-04,ATL,27,24,22,22,19,16,93,72,51,1014,1012,1011,16,14,4,21,9,26.0,6.10,6,Rain,139,0,2011,9,3582088,3580851
4,2011-09-05,ATL,26,24,22,23,22,20,94,91,87,1010,1005,999,16,13,3,32,16,45.0,16.00,8,Rain-Thunderstorm,149,1,2011,9,3582088,3580851
5,2011-09-06,ATL,24,19,14,22,15,13,90,87,84,1011,1006,998,16,12,4,47,18,56.0,1.52,8,Rain,212,0,2011,9,3582088,3580851
6,2011-09-07,ATL,21,18,14,14,14,13,93,81,68,1016,1014,1011,16,13,2,23,13,32.0,T,8,,297,0,2011,9,3582088,3580851
7,2011-09-08,ATL,23,19,14,14,13,12,87,70,53,1015,1014,1013,16,16,16,27,15,32.0,0.00,5,,322,0,2011,9,3582088,3580851
8,2011-09-09,ATL,27,21,14,13,12,11,93,65,36,1015,1014,1013,16,16,16,26,11,35.0,0.00,1,,302,0,2011,9,3582088,3580851
9,2011-09-10,ATL,29,22,14,13,11,7,84,56,28,1019,1016,1015,16,16,16,21,9,32.0,0.00,0,,321,0,2011,9,3582088,3580851
10,2011-09-11,ATL,30,23,16,13,11,7,72,49,25,1020,1018,1017,16,16,16,21,6,37.0,0.00,2,,294,0,2011,9,3582088,3580851
11,2011-09-12,ATL,31,24,18,16,13,12,73,54,34,1021,1018,1016,16,16,14,24,11,34.0,0.00,1,,303,0,2011,9,3582088,3580851
12,2011-09-13,ATL,32,25,18,15,13,11,78,54,29,1018,1016,1015,16,16,16,21,10,26.0,0.00,2,,319,0,2011,9,3582088,3580851
13,2011-09-14,ATL,33,26,19,14,12,9,63,44,24,1016,1014,1012,16,16,16,21,6,26.0,0.00,3,,330,0,2011,9,3582088,3580851
14,2011-09-15,ATL,30,23,16,19,15,12,78,63,48,1018,1014,1012,16,16,16,35,16,42.0,0.00,5,,305,0,2011,9,3582088,3580851
15,2011-09-16,ATL,22,18,13,12,11,8,80,65,49,1024,1021,1017,16,16,16,37,19,47.0,0.00,5,,65,0,2011,9,3582088,3580851
16,2011-09-17,ATL,26,20,13,12,9,8,72,56,40,1025,1023,1021,16,16,16,26,14,32.0,0.00,4,,84,0,2011,9,3582088,3580851
17,2011-09-18,ATL,25,20,14,13,13,12,86,66,46,1026,1024,1022,16,16,16,26,17,42.0,0.00,5,,97,0,2011,9,3582088,3580851
18,2011-09-19,ATL,25,21,17,13,13,12,78,64,50,1022,1020,1017,16,16,16,26,18,31.0,0.00,6,,89,0,2011,9,3582088,3580851
19,2011-09-20,ATL,28,23,18,19,16,13,90,71,51,1020,1018,1016,16,15,10,26,16,32.0,1.52,8,Rain,92,0,2011,9,3582088,3580851
